question,options,correct_answer,model_response,predicted_option,is_correct
"A 78-year-old man comes to the physician because of progressively worsening fatigue and headache for 6 months and occasional abdominal pain. He has not had any changes in his weight. He has a history of hypertension, type 2 diabetes mellitus, and chronic shoulder pain. Current daily medications include hydrochlorothiazide, metformin, and ibuprofen. He does not drink alcohol and does not smoke. His diet has mostly consisted of potatoes and lean meats since his wife passed away 1 year ago. His pulse is 92/min and blood pressure is 135/80 mm Hg. Examination shows conjunctival and mucosal pallor. Abdominal and rectal examination shows no abnormalities. Neurological exam shows mild postural tremor. Peripheral blood smear shows red blood cells with increased zones of central pallor and anisocytosis. Which of the following is the most likely underlying cause of this patient’s symptoms?","{'A': 'Folic acid deficiency', 'B': 'Intravascular hemolysis', 'C': 'Impaired erythropoietin production', 'D': 'Vitamin B12 deficiency', 'E': 'Iron deficiency'}",E,"The patient's symptoms of fatigue, headache, and occasional abdominal pain, along with the physical examination findings of conjunctival and mucosal pallor and a mild postural tremor, suggest anemia. The peripheral blood smear findings of red blood cells with increased zones of central pallor and anisocytosis are indicative of a macrocytic anemia. Given the patient's dietary history of mostly potatoes and lean meats since his wife passed away 1 year ago, it is likely that he is not getting adequate vitamin B12, which is commonly found in meat and dairy products. Vitamin B12 deficiency can lead to macrocytic anemia and neurological symptoms, such as the mild postural tremor seen in this patient. Therefore, the most likely underlying cause of this patient's symptoms is vitamin B12 deficiency. The answer is D) Vitamin B12 deficiency.",D,False
"A 7-year-old boy is brought to the physician because of a 3-week history of burning sensation in his mouth. One year ago, a peripheral blood smear performed during workup of fatigue revealed erythrocytes without central pallor. His father had gallstones, for which he underwent a cholecystectomy at the age of 26 years. Examination shows pallor of the mucosal membranes, mild scleral icterus, a swollen, red tongue, and several mouth ulcers. There is darkening of the skin over the dorsal surfaces of the fingers, toes, and creases of the palms and soles. His spleen is enlarged and palpable 3 cm below the left costal margin. Laboratory studies show a hemoglobin concentration of 9.1 gm/dL, mean corpuscular volume of 104 μm3, and a reticulocyte count of 9%. Which of the following would most likely have prevented this patient's oropharyngeal symptoms?","{'A': 'Pneumococcal vaccine and antibiotic prophylaxis', 'B': 'Red blood cell transfusions', 'C': 'Gluten-free diet', 'D': 'Vitamin B12 injections', 'E': 'Folic acid supplementation'}",E,"The patient's symptoms, including burning sensation in the mouth, swollen red tongue, mouth ulcers, scleral icterus, and darkening of the skin, along with laboratory findings of anemia with high mean corpuscular volume (MCV of 104 μm3), indicate a condition called Porphyria. Porphyrias are a group of disorders caused by deficiencies in enzymes involved in the heme biosynthesis pathway. The most likely type in this case is Porphyria Cutanea Tarda (PCT), which is the most common form of porphyria. PCT is characterized by photosensitivity leading to blistering on sun-exposed areas, hyperpigmentation, and increased hair growth. It can also cause liver dysfunction, leading to splenomegaly and neurological symptoms.

The patient's father's history of gallstones may be related to the liver dysfunction associated with PCT. The treatment for PCT includes phlebotomy to reduce iron overload, which can contribute to the disease, as well as avoiding triggers such as alcohol, estrogen, and certain medications.

None of the options provided (A, B, C, D, or E) are standard treatments for PCT or would have prevented the oropharyngeal symptoms. However, if we consider the most appropriate option from the given choices, a gluten-free diet (C) is used to treat celiac disease, which can cause similar symptoms such as mouth ulcers and anemia but does not typically cause the skin findings seen in this patient.

Therefore, the answer is C) Gluten-free diet.",C,False
A study is conducted to determine the most effective ways to prevent transmission of various infective agents. One of the agents studied is a picornavirus that preferentially infects hepatocytes. The investigator determines that inactivating this virus can prevent its spread. Which of the following disinfectants is most likely to inactivate this virus?,"{'A': 'Benzalkonium chloride', 'B': 'Chlorhexidine', 'C': 'Sodium hypochlorite', 'D': 'Sulfuric acid', 'E': 'Ethyl alcohol'}",C,"The virus in question is a picornavirus that infects hepatocytes. Picornaviruses are non-enveloped, single-stranded RNA viruses. They are relatively resistant to environmental stresses, including common disinfectants. However, among the options provided, sodium hypochlorite (C) is a strong oxidizing agent that is effective against a wide range of pathogens, including non-enveloped viruses like picornaviruses. Therefore, the answer is C) Sodium hypochlorite.",C,True
"A 36-year-old woman comes to the physician because of difficulty discarding items in her home. She says that the accumulation of things in her kitchen and dining room makes regular use of these spaces incredibly difficult. Her behavior started when she was in high school. She feels anxious when she tries to discard her possessions and her husband tries to clean and organize the home. This behavior frustrates her because most of the items she saves have little emotional or monetary value. She reports that there has been no improvement despite attending cognitive behavioral therapy sessions for the past 6 months. She now feels that her behavior is “taking over” her life. She does not drink, smoke, or use illicit drugs. She takes no medications. Her temperature is 36°C (96.8°F), pulse is 90/min, respirations are 12/min, and blood pressure is 116/80 mm Hg. On mental status examination, she is calm, alert, and oriented to person, place, and time. Her mood is depressed; her speech is organized, logical, and coherent; and there are no psychotic symptoms. Which of the following is the most appropriate next step in management?","{'A': 'Atomoxetine', 'B': 'Fluoxetine', 'C': 'Lamotrigine', 'D': 'Buspirone', 'E': 'Methylphenidate'}",B,"The patient's symptoms suggest a diagnosis of hoarding disorder, which is characterized by persistent difficulty discarding or parting with possessions, regardless of their actual value. This difficulty is due to a perceived need to save the items and to distress associated with discarding them. The symptoms have been present for a long time, as indicated by the onset in high school, and are causing significant impairment in her daily functioning.

The most appropriate next step in management for hoarding disorder is psychotherapy, specifically cognitive behavioral therapy (CBT). The patient has already been attending CBT sessions for the past 6 months, but has not shown improvement. Therefore, the next step would be to consider pharmacotherapy.

Among the options provided, fluoxetine (B) is a selective serotonin reuptake inhibitor (SSRI) that has been approved by the FDA for the treatment of obsessive-compulsive disorder (OCD), which often co-occurs with hoarding disorder. Although hoarding disorder is not specifically listed as an indication for fluoxetine, SSRIs like fluoxetine are often used as a first-line treatment for hoarding disorder due to their efficacy in treating OCD symptoms.

Atomoxetine (A) is used for the treatment of attention deficit hyperactivity disorder (ADHD) and is not indicated for hoarding disorder. Lamotrigine (C) is primarily used for the treatment of epilepsy and bipolar disorder, and buspirone (D) is an anxiolytic that is not typically used as a first-line treatment for hoarding disorder. Methylphenidate (E) is another medication used for ADHD and is not indicated for hoarding disorder.

Therefore, the most appropriate next step in management for this patient, considering the available options, would be to consider starting fluoxetine (B) to help manage the symptoms of hoarding disorder and any co-occurring OCD.",C,False
"Please refer to the summary above to answer this question
A medical student is examining the table in the abstract. She notices that the standard error surrounding measurements in the pulmharkimab 150 mg/day group is generally greater than the standard errors for the placebo and pulmharkimab 75 mg/day groups. Which of the following statements is the best explanation for the increased standard error in the pulmharkimab 150 mg/day group?""
""Impact of pulmharkimab on asthma control and cardiovascular disease progression in patients with coronary artery disease and comorbid asthma
Introduction:
Active asthma has been found to be associated with a more than two-fold increase in the risk of myocardial infarction, even after adjusting for cardiovascular risk factors. It has been suggested that the inflammatory mediators and accelerated atherosclerosis characterizing systemic inflammation may increase the risk of both asthma and cardiovascular disease. This study evaluated the efficacy of the novel IL-1 inhibitor pulmharkimab in improving asthma and cardiovascular disease progression.
Methods:
In this double-blind, randomized controlled trial, patients (N=1200) with a history of coronary artery disease, myocardial infarction in the past 2 years, and a diagnosis of comorbid adult-onset asthma were recruited from cardiology clinics at a large academic medical center in Philadelphia, PA. Patients who were immunocompromised or had a history of recurrent infections were excluded.
Patients were subsequently randomly assigned a 12-month course of pulmharkimab 75 mg/day, pulmharkimab 150 mg/day, or a placebo, with each group containing 400 participants. All participants were included in analysis and analyzed in the groups to which they were randomized regardless of medication adherence. Variables measured included plaque volume, serum LDL-C levels, FEV1/FVC ratio, and Asthma Control Questionnaire (ACQ) scores, which quantified the severity of asthma symptoms. Plaque volume was determined by ultrasound.
Analyses were performed from baseline to month 12.
Results:
At baseline, participants in the two groups did not differ by age, gender, race, plaque volume, serum LDL-C levels, FEV1/FVC ratio, and ACQ scores (p > 0.05 for all). A total of 215 participants (18%) were lost to follow-up. At 12-month follow-up, the groups contained the following numbers of participants:
Pulmharkimab 75 mg/d: 388 participants
Pulmharkimab 150 mg/d: 202 participants
Placebo: 395 participants
Table 1: Association between pulmharkimab and both pulmonary and cardiovascular outcomes. Models were adjusted for sociodemographic variables and medical comorbidities. All outcome variables were approximately normally distributed.
Pulmharkimab 75 mg/d, (Mean +/- 2 SE) Pulmharkimab 150 mg/d, (Mean +/- 2 SE) Placebo, (Mean +/- 2 SE) P-value
Plaque volume (mm3), change from baseline 6.6 ± 2.8 1.2 ± 4.7 15.8 ± 2.9 < 0.01
LDL-C levels, change from baseline -9.4 ± 3.6 -11.2 ± 14.3 -8.4 ± 3.9 0.28
FEV1/FVC ratio, change from baseline 0.29 ± 2.21 0.34 ± 5.54 -0.22 ± 3.21 0.27
ACQ scores, change from baseline 0.31 ± 1.22 0.46 ± 3.25 0.12 ± 1.33 0.43
Conclusion:
Pulmharkimab may be effective in reducing plaque volume but does not lead to improved asthma control in patients with a history of myocardial infarction and comorbid asthma.
Source of funding: Southeast Institute for Advanced Lung and Cardiovascular Studies, American Center for Advancement of Cardiovascular Health""","{'A': 'It indicates an increased likelihood of bias', 'B': 'It indicates decreased external validity', 'C': 'It indicates a lack of statistical significance', 'D': 'It reflects a smaller sample size', 'E': 'It indicates more narrow confidence intervals'}",D,"The increased standard error in the pulmharkimab 150 mg/day group could be due to a smaller sample size in that group compared to the other groups. Therefore, the answer is D) It reflects a smaller sample size.",D,True
A 27-year-old man and his wife come to the physician for preconception genetic counseling. The patient and his wife are asymptomatic and have no history of serious illness. The patient's older brother died at age 13 from heart failure and his 6-year-old nephew currently has severe muscle weakness. Genetic testing in the patient's family shows that his mother is not a carrier of the mutation that is responsible for the disease in his relatives. A pedigree chart of the patient's family is shown. Which of the following is the most likely explanation for the patient not being affected?,"{'A': 'Variable expressivity', 'B': 'Maternal uniparental disomy', 'C': 'Gonadal mosaicism', 'D': 'Dominant negative mutation', 'E': 'Incomplete penetrance'}",C,"The patient's nephew has severe muscle weakness, and the patient's older brother died at age 13 from heart failure. Genetic testing shows that the patient's mother is not a carrier of the mutation responsible for the disease in the family. This suggests that the disease is inherited in an autosomal recessive manner. Since the patient and his wife are asymptomatic and have no history of serious illness, and the patient's mother is not a carrier, the most likely explanation for the patient not being affected is that he is a carrier of the mutation but does not express the disease phenotype. This is consistent with incomplete penetrance, where individuals carrying the mutation do not show symptoms of the disease. Therefore, the answer is E) Incomplete penetrance.",E,False
"A 23-year-old woman, gravida 2, para 1, at 28 weeks' gestation comes to the physician for a routine prenatal examination. Her previous pregnancy was uncomplicated and she gave birth to a healthy boy. Her blood group is A, Rh-negative. The father's blood group is B, Rh-positive. Administration of which of the following is most appropriate at this time?","{'A': 'Anti-A IgG', 'B': 'Anti-D IgG', 'C': 'Anti-B IgG', 'D': 'Anti-D IgM', 'E': 'Anti-A IgM'}",B,"The woman's blood group is A, Rh-negative, and the father's blood group is B, Rh-positive. Since the mother is Rh-negative and the father is Rh-positive, there is a possibility that the fetus may be Rh-positive. If the fetus is indeed Rh-positive, the mother's immune system may produce antibodies against the fetal red blood cells, leading to hemolytic disease of the newborn in subsequent pregnancies. To prevent this, Rh-negative mothers are given Anti-D IgG (also known as Rho(D) immune globulin) at 28 weeks' gestation and within 72 hours after delivery if the newborn is found to be Rh-positive. This helps prevent sensitization to Rh-positive blood. Therefore, the most appropriate administration at this time is B) Anti-D IgG.",A,False
A 34-year-old male suffers from inherited hemophilia A. He and his wife have three unaffected daughters. What is the probability that the second daughter is a carrier of the disease?,"{'A': '0%', 'B': '25%', 'C': '50%', 'D': '75%', 'E': '100%'}",E,The answer is (C) 50%.,C,False
"A 57-year-old man comes to the physician because of a 1-year history of increasing shortness of breath on exertion and a cough productive of a small amount of grayish-white phlegm. The cough had been initially nonproductive. He has not had fever or chest pain. He is originally from China and visits his family there once every year. He has worked as a car salesman for 15 years and worked in a shipyard before that for 22 years. He smoked half a pack of cigarettes daily for 13 years but stopped 25 years ago. His temperature is 37.1°C (98.8°F), pulse is 86/min, respirations are 16/min, and blood pressure is 130/80 mm Hg. Fine expiratory crackles are heard at both lung bases. An x-ray of the chest shows patchy infiltrates and supradiaphragmatic pleural thickening in both lungs. A photomicrograph from a sputum sample is shown. Further evaluation of this patient is most likely to show which of the following findings?","{'A': 'Increased alveolar-arterial gradient', 'B': 'Bloody pleural effusion', 'C': 'Increased total lung capacity', 'D': 'Concave flow-volume loop', 'E': 'Increased diffusing capacity (DLCO)'}",A,"The patient's history of working in a shipyard, the presence of fine expiratory crackles, and patchy infiltrates with supradiaphragmatic pleural thickening on the chest x-ray are suggestive of asbestosis, a type of pneumoconiosis caused by asbestos exposure. Asbestosis is characterized by interstitial fibrosis and pleural plaques. The sputum photomicrograph would likely show asbestos bodies.

Increased alveolar-arterial gradient (A) is seen in conditions that cause impaired gas exchange, such as interstitial lung diseases and emphysema. However, it is not specific to asbestosis.

Bloody pleural effusion (B) is not typically associated with asbestosis. It could be seen in conditions like malignancy, infection, or trauma.

Increased total lung capacity (C) is seen in conditions like emphysema where there is hyperinflation of the lungs. Asbestosis typically causes a restrictive pattern, not an obstructive one, so it would not lead to increased total lung capacity.

Concave flow-volume loop (D) is seen in obstructive lung diseases like asthma and COPD due to decreased airflow. Asbestosis causes a restrictive pattern, so the flow-volume loop would not be concave.

Increased diffusing capacity (DLCO) (E) is not expected in asbestosis. In fact, DLCO is usually decreased in interstitial lung diseases because of impaired gas exchange.

Therefore, the most likely finding in this patient with asbestosis would be an increased alveolar-arterial gradient due to impaired gas exchange. The answer is A) Increased alveolar-arterial gradient.",A,True
"A healthy 21-year-old man undergoes physical fitness testing prior to long-term submarine deployment. To evaluate his pulmonary function, lung and thoracic compliance are measured at different system pressures. A graph of the relationship between his lung volume and transpulmonary pressure is shown. The dotted line in this graph corresponds to which of the following lung volumes?","{'A': 'Inspiratory capacity', 'B': 'Vital capacity', 'C': 'Tidal volume', 'D': 'Functional residual capacity', 'E': 'Total lung capacity'}",D,"The dotted line in the graph corresponds to the lung volume at which the transpulmonary pressure is zero. This is the lung volume that remains after a normal, quiet expiration. It is the volume of air that remains in the lungs at the end of a normal expiration and is the starting point for spontaneous inspiration. This lung volume is known as the functional residual capacity (FRC). Therefore, the answer is D) Functional residual capacity.",D,True
"A 1-month-old girl is brought to the emergency department with persistent vomiting, dehydration, and irritability. Over the past week, she has been projectile vomiting after most feedings. Initially, the vomiting would occur just once or twice a day, but now it occurs after every feed. However, her appetite hasn’t decreased, and she seeks milk right after each episode of vomiting. She was born at 39 weeks gestation via spontaneous vaginal delivery and is breastfed exclusively. On physical exam, the vital signs include: temperature 37.5°C (99.5°F), blood pressure 85/55 mm Hg, respiratory rate 28/min, and heart rate 150/min. On examination, she appears to be mildly dehydrated, listless, and irritable. Her abdomen is soft and nontender with a palpable olive-shaped mass in the epigastric region. Which of the following acid-base disturbances is most likely associated with this patient’s condition?","{'A': 'Respiratory alkalosis', 'B': 'Metabolic acidosis', 'C': 'Metabolic alkalosis', 'D': 'Respiratory acidosis', 'E': 'Mixed respiratory and metabolic acidosis'}",C,"The patient is a 1-month-old girl presenting with persistent vomiting, dehydration, and irritability. The vomiting is projectile and occurs after every feeding, but the child still seeks milk after each episode. The physical examination reveals a palpable olive-shaped mass in the epigastric region, and the patient appears mildly dehydrated and listless. These findings are highly suggestive of pyloric stenosis, which is a condition characterized by hypertrophy of the pyloric sphincter leading to gastric outlet obstruction.

Pyloric stenosis typically presents with projectile vomiting that occurs shortly after feeding. The vomiting is due to the inability of the hypertrophied pylorus to relax and allow food to pass from the stomach to the duodenum. As a result, the stomach contents are repeatedly expelled, leading to dehydration and electrolyte imbalances.

The most common acid-base disturbance associated with pyloric stenosis is hypochloremic metabolic alkalosis. This occurs because the loss of gastric acid (hydrochloric acid) from repeated vomiting leads to a decrease in hydrogen ion concentration (alkalosis), and the body compensates by increasing renal bicarbonate reabsorption, which further exacerbates the alkalosis. Additionally, the loss of chloride ions in the vomit leads to hypochloremia.

Therefore, the answer is C) Metabolic alkalosis.",C,True
"During the normal catabolism of protein, urea and ammonia are produced as waste products. If these waste products are not cleared by the liver and kidneys, hyperammonemia can occur, leading to confusion and delirium. Fortunately, a healthy liver can clear these waste products via the urea cycle. Which of the following reactions is the rate limiting step in this cycle?","{'A': 'NH3 + HCO3- + 2 ATP --> carbamoyl phosphate + 2 ADP + Pi', 'B': 'Carbamoyl phosphate + ornithine --> citrulline+ Pi', 'C': 'Citrulline + aspartate + ATP --> arginosuccinate + AMP + PPi', 'D': 'Argininosuccinate --> Arginine + fumarate', 'E': 'Arginine + H20 --> ornithine + urea'}",A,"The rate-limiting step in the urea cycle is the conversion of ammonia to carbamoyl phosphate. This reaction is catalyzed by the enzyme carbamoyl phosphate synthetase I, which requires ATP and bicarbonate as substrates. Therefore, the correct answer is A) NH3 + HCO3- + 2 ATP --> carbamoyl phosphate + 2 ADP + Pi.",A,True
An unidentified surgical specimen is received for histopathologic analysis. A portion of the specimen is cut and stained with hematoxylin and eosin. The remainder is analyzed and is found to contains type II collagen and chondroitin sulfate. Which of the following structures is most likely the origin of this surgical specimen?,"{'A': 'Blood vessel', 'B': 'Pinna', 'C': 'Pubic symphysis', 'D': 'Lens', 'E': 'Larynx'}",E,"The presence of type II collagen and chondroitin sulfate suggests that the specimen is from a cartilaginous structure. Among the options given, the pinna (B) and the larynx (E) are the structures that contain cartilage. However, type II collagen is the main collagen found in cartilage, and chondroitin sulfate is a major component of the proteoglycans in cartilage. Since the lens (D) is avascular and does not contain type II collagen or chondroitin sulfate, it can be ruled out. The blood vessel (A) primarily contains type I collagen, and the pubic symphysis (C) is a cartilaginous structure but does not contain type II collagen or chondroitin sulfate. Therefore, the most likely origin of the surgical specimen is the cartilaginous part of the ear, which is the pinna. Hence, the answer is B) Pinna.",B,False
"A 22-year-old primigravida presents for a regular prenatal visit at 16 weeks gestation. She is concerned about the results of a dipstick test she performed at home, which showed 1+ glucose. She does not know  if her liquid consumption has increased, but she urinates more frequently than before. The course of her pregnancy has been unremarkable and she has no significant co-morbidities. The BMI is 25.6 kg/cm2 and she has gained 3 kg (6.72 lb) during the pregnancy. The blood pressure is 110/80 mm Hg, the heart rate is 82/min, the respiratory rate is 14/min, and the temperature is 36.6℃ (97.9℉). The lungs are clear to auscultation, the heart sounds are normal with no murmurs, and there is no abdominal or costovertebral angle tenderness. The laboratory tests show the following results:
Fasting glucose 97 mg/L
ALT 12 IU/L
AST 14 IU/L
Total bilirubin 0.8 mg/dL(15 µmol/L)
Plasma creatinine 0.7 mg/dL (61.9 µmol/L)
Which of the following tests are indicated to determine the cause of the abnormal dipstick test results?","{'A': 'HbA1c measurement', 'B': 'No tests required', 'C': 'Urinalysis', 'D': 'Oral glucose tolerance test', 'E': 'Random plasma glucose'}",B,"The patient is a 22-year-old primigravida at 16 weeks gestation who reports a 1+ glucose result on a dipstick test. She has no significant co-morbidities, and her pregnancy course has been unremarkable. Her BMI is 25.6 kg/cm2, and she has gained 3 kg during the pregnancy. Her vital signs are within normal limits, and her laboratory tests show normal fasting glucose, liver enzymes, total bilirubin, and plasma creatinine levels.

Given the patient's normal fasting glucose level and lack of symptoms, it is unlikely that she has gestational diabetes at this point. The dipstick test may have been a false positive, which can occur due to various factors such as contaminated urine or the presence of other substances that interfere with the test.

Therefore, the most appropriate next step would be to perform a urinalysis (Option C) to rule out other causes of proteinuria or glucosuria, such as a urinary tract infection or kidney disease. This will help determine if there is an actual glucose presence in the urine and assess for any other abnormalities.

HbA1c measurement (Option A) is not indicated in this scenario as it is used to diagnose and monitor long-term glucose control in diabetes, and the patient's fasting glucose is normal.

No tests are required (Option B) at this point since the fasting glucose is normal, and there are no symptoms or significant findings to suggest gestational diabetes.

An oral glucose tolerance test (Option D) is used to diagnose gestational diabetes, typically performed between 24-28 weeks gestation, and is not indicated at this stage.

Random plasma glucose (Option E) is not useful in this context as it does not provide information about glucose handling by the kidneys, which is what the dipstick test is assessing.

Therefore, the answer is C) Urinalysis.",A,False
"A 58-year-old male with a history of obesity and hypertension presents to his primary care physician for a follow-up visit. He reports that he feels well and has no complaints. He currently takes hydrochlorothiazide. His temperature is 98.6°F (37°C), blood pressure is 135/80 mmHg, pulse is 86/min, and respirations are 17/min. His BMI is 31 kg/m2. Results of a lipid panel are: Total cholesterol is 280 mg/dl, triglycerides are 110 mg/dl, HDL cholesterol is 40 mg/dl, and LDL cholesterol is 195 mg/dl. Her physician considers starting her on atorvastatin. Which of the following will most likely decrease after initiating this medication?","{'A': 'Mevalonate', 'B': 'Acetoacetyl-CoA', 'C': 'HMG-CoA', 'D': 'Diacyglycerol', 'E': 'High-density lipoprotein'}",A,"The patient has a history of obesity and hypertension and is currently taking hydrochlorothiazide. His lipid panel results show a total cholesterol of 280 mg/dl, triglycerides are 110 mg/dl, HDL cholesterol is 40 mg/dl, and LDL cholesterol is 195 mg/dl. His physician is considering starting him on atorvastatin. Atorvastatin is a statin medication that works by inhibiting the enzyme HMG-CoA reductase, which is involved in the synthesis of cholesterol. This inhibition leads to decreased cholesterol synthesis and increased uptake of LDL cholesterol from the bloodstream. As a result, the levels of LDL cholesterol are expected to decrease. However, the medication does not directly affect HDL cholesterol, mevalonate, acetoacetyl-CoA, or diacylglycerol in the manner that it affects LDL cholesterol. Therefore, the answer is C) HMG-CoA.",C,False
A 55-year-old man with a history of chronic glomerulonephritis due to IgA nephropathy presents to your office with bone pain. Which of the following laboratory findings would you most expect upon analysis of this patient's serum?,"{'A': 'Increased PTH, decreased calcium, increased phosphate, decreased calcitriol', 'B': 'Decreased PTH, increased calcium, increased phosphate, increased calcitriol', 'C': 'Increased PTH, increased calcium, decreased phosphate, decreased calcitriol', 'D': 'Decreased PTH, decreased calcium, increased phosphate, decreased calcitriol', 'E': 'Normal PTH, normal calcium, normal phosphate, normal calcitriol'}",A,"The patient has a history of chronic glomerulonephritis due to IgA nephropathy and presents with bone pain. Chronic kidney disease (CKD) can lead to secondary hyperparathyroidism due to phosphate retention and decreased production of calcitriol (active form of vitamin D). This results in decreased calcium absorption from the gut and secondary hyperparathyroidism to compensate for hypocalcemia. The increased PTH then leads to increased bone turnover, which can manifest as bone pain.

Therefore, the most expected laboratory findings in this patient would be:

Increased PTH (due to secondary hyperparathyroidism)
Decreased calcium (due to decreased absorption from the gut and increased use by the parathyroid glands)
Increased phosphate (due to decreased excretion by the kidneys)
Decreased calcitriol (due to decreased production by the kidneys)

The correct answer is A) Increased PTH, decreased calcium, increased phosphate, decreased calcitriol.",A,True
"A 31-year-old woman comes to the physician because of dragging pelvic pain and a 3 kg (6 lb 9 oz) weight loss over the past 6 months. Menses occur at irregular 30- to 45-day intervals; her last menstrual period was 5 weeks ago. Her temperature is 38°C (100.4°F), heart rate is 102/min, and blood pressure is 128/84 mm Hg. Physical examination shows hyperreflexia. Urine pregnancy test is negative. Ultrasonography shows a 6-cm hypoechoic adnexal mass. This adnexal mass is most likely derived from which of the following cell types?","{'A': 'Ovarian epithelial cells', 'B': 'Germ cells', 'C': 'Chorionic epithelial cells', 'D': 'Endometrial cells', 'E': 'Stromal cells'}",B,"The patient is presenting with symptoms of dragging pelvic pain, weight loss, irregular menses, fever, tachycardia, and hyperreflexia. The negative urine pregnancy test rules out pregnancy-related causes of an adnexal mass. The presence of a 6-cm hypoechoic adnexal mass on ultrasonography suggests an ovarian neoplasm.

Ovarian neoplasms can be derived from various cell types, including ovarian epithelial cells, germ cells, and stromal cells. Chorionic epithelial cells and endometrial cells are not typically associated with ovarian neoplasms.

Given the patient's age and the characteristics of the mass, the most likely cell type from which the adnexal mass is derived is ovarian epithelial cells (Option A). Ovarian epithelial tumors are the most common type of ovarian neoplasms and can present with the symptoms described in the patient.

Therefore, the answer is A) Ovarian epithelial cells.",A,False
"A 35-year-old man presents with a 7 month history of insomnia. The patient admitted to having trouble sleeping from a young age but became more aware of how much this is affecting his health after attending a sleep conference earlier this year. He is worried that his health has suffered because of this, and he is also concerned that he will not be able to pay his bills if he were to get sick. He has no past medical or psychiatric condition and is not known to use any recreational drugs. The patient arrived for his appointment an hour early because he was afraid he might miss it. The patient is afebrile and his vital signs are within normal limits. Physical examination reveals an irritable middle age man who is tense and somewhat inattentive during the interview. Which of the following is the most likely diagnosis in this patient?
 ","{'A': 'Generalized anxiety disorder', 'B': 'Adjustment disorder', 'C': 'Social anxiety ', 'D': 'Agoraphobia', 'E': 'Normal worry'}",A,"The patient presents with a 7 month history of insomnia and admits to having trouble sleeping from a young age. He is worried about his health and future financial problems. He arrived early for his appointment due to fear of missing it. His physical examination reveals that he is an irritable, tense, and somewhat inattentive middle-aged man. Based on these findings, the most likely diagnosis is generalized anxiety disorder (A).",B,False
"A 67-year-old man is brought to the emergency department with sudden onset of slurred speech. The patient’s eldest daughter says that he couldn’t move his arm during the episode. Past medical history is significant for hypertension and a hemorrhagic stroke 6 years ago, which was treated surgically. After admission, the patient gets increasingly worse and loses consciousness. A noncontrast CT of the head shows a subarachnoid hemorrhage (SAH). The patient is taken to the operating room, where the SAH evacuated, and the vessel is repaired. Postoperatively, the patient is unresponsive. Several days later, a repeat CT of the head shows an enlarging aneurysm in a different vessel in the brain. The patient’s daughter is asked to consent to a non-emergent, life-saving operation since the patient is in a comatose state. She does not consent to the operation even though the physician stresses it would be life-saving. Upon further discussion, the physician finds out that the patient was abusive and neglectful to his children, and the daughter wants “to live in peace.” The patient has no written advanced directive. Which of the following is the most appropriate course of action?","{'A': 'Follow the daughter’s wishes to withhold the operation', 'B': 'Refer this case to the court', 'C': 'Contact another family member for consent', 'D': 'Perform the surgery without consent', 'E': 'Report the daughter to the police'}",C,"The patient is in a comatose state and unable to provide consent for medical procedures. The daughter, who is the legal surrogate decision-maker, refuses to consent to a life-saving operation. The physician has learned that the patient was abusive and neglectful to his children, and the daughter states she wants “to live in peace.” The absence of a written advanced directive leaves the physician in a challenging ethical and legal situation.

In such cases, the physician must consider the best interest of the patient. Since the patient is in a comatose state and the daughter’s refusal to consent could result in the patient’s death, the physician may consider option B (refer this case to the court) as the most appropriate course of action. The court can provide guidance on whether the operation should be performed, taking into account the patient’s best interest and the daughter’s wishes in the context of the patient’s past behavior.

Therefore, the answer is B) Refer this case to the court.",B,False
"A 3-year-old girl is brought to the emergency department by her mother 30 minutes after the sudden onset of shortness of breath, dizziness, abdominal pain, and urticaria. The symptoms began 5 minutes after she ate a peanut butter sandwich. Her respirations are 36/min and blood pressure is 84/50 mm Hg. There is stridor on auscultation of the chest. She is intubated and mechanical ventilation is begun. Intravenous fluid resuscitation and the appropriate pharmacotherapy are begun. The drug administered to this patient most likely has which of the following effects on cardiac pacemaker cells during an action potential?","{'A': 'Increased Ca2+ influx in phase 4', 'B': 'Increased Na+ influx in phase 3', 'C': 'Decreased Ca2+ influx in phase 0', 'D': 'Increased K+ efflux in phase 4', 'E': 'Decreased K+ efflux during phase 3\n""'}",A,"The patient's symptoms are indicative of an anaphylactic reaction, likely secondary to a peanut allergy. The treatment for anaphylaxis includes administration of epinephrine, which acts on alpha and beta-adrenergic receptors. One of the effects of epinephrine on the heart is an increase in heart rate, which is mediated by its action on beta-1 adrenergic receptors in the sinoatrial node, leading to increased Ca2+ influx in phase 4 of the cardiac pacemaker cells' action potential. This results in a faster depolarization and thus an increased heart rate. Therefore, the answer is A) Increased Ca2+ influx in phase 4.",A,True
